model_designator,manufacturer,name,price,url,category
VW MQB,034Motorsport,034Motorsport Dynamic+ Badge,$14.00,https://www.034motorsport.com/034motorsport-badge.html,Miscellaneous
VW MQB,034Motorsport,Dynamic+ End User Flashing Kit R4,$175.00,https://www.034motorsport.com/034motorsport-dynamic-plus-end-user-flashing-kit.html,Tunes
VW MQB,034Motorsport,"034Motorsport 2.0T Gen 3 (IS20) Performance Software, 8V/8V.5 Audi A3 & MK7 Volkswagen GTI",$100.00,https://www.034motorsport.com/034motorsport-2-0t-gen-3-is20-performance-software-8v-audi-a3-mkvii-volkswagen-gti-tune.html,Tunes
VW MQB,034Motorsport,"DSG Software Upgrade for MkVII Volkswagen & 8S/8V Audi, DQ250 Transmission",$175.00,https://www.034motorsport.com/dsg-software-upgrade-for-mkvii-volkswagen-mqb-audi-dq250-transmission.html,Tunes
VW MQB,034Motorsport,"X34 Carbon Fiber MQB Cold Air Intake System, 8V Audi A3/S3/TT/TTS & MkVII VW Golf/GTI/R & MkVII VW GLI, 1.8T/2.0T Gen 3",$785.00,https://www.034motorsport.com/x34-carbon-fiber-mqb-cold-air-intake-system-8v-audi-a3-s3-mkvii-volkswagen-golf-gti-r-1-8t-2-0t-gen-3.html,Intakes
VW MQB,034Motorsport,"P34 Performance Cold Air Intake, 8V Audi A3/S3/TT/TTS & MkVII Volkswagen Golf/GTI/R, 1.8T/2.0T Gen 3 (MQB)",$440.00,https://www.034motorsport.com/p34-performance-cold-air-intake-8v-audi-a3-s3-tt-tts-mkvii-volkswagen-golf-gti-r-1-8t-2-0t-gen-3-mqb.html,Intakes
VW MQB,034Motorsport,"X34 Carbon Fiber MQB Open-Top Cold Air Intake System, 8V Audi A3/S3/TT/TTS, MkVII VW Golf/GTI/R & MkVII VW GLI, 1.8T/2.0T Gen 3",$785.00,https://www.034motorsport.com/x34-carbon-fiber-mqb-open-top-cold-air-intake-system-8v-audi-a3-s3-mkvii-volkswagen-golf-gti-r-1-8t-2-0t-gen-3.html,Intakes
VW MQB,034Motorsport,"034Motorsport Turbo Inlet Pipe, 1.8T & 2.0T MQB, Audi 8S-TT/TTS 8V-A3/S3, VW MkVII-Golf/GTI/R A7-Jetta/GLI MQB-Tiguan",$125.00,https://www.034motorsport.com/turbo-inlet-pipe-2-0l-mqb.html,Turbochargers
VW MQB,034Motorsport,"034Motorsport MQB Insuction Bundle for Audi 8V A3/S3, 8S TT/TTS, and VW MkVII Golf/Golf R/GTI",$218.00,https://www.034motorsport.com/034motorsport-mqb-insuction-bundle-for-audi-8v-a3-s3-8s-tt-tts-and-vw-mkvii-golf-golf-r-gti.html,Intakes
VW MQB,034Motorsport,"S34 Carbon Fiber Intake, Volkswagen & Audi MQB EA888 Gen 3",$498.00,https://www.034motorsport.com/s34-carbon-fiber-intake-8v-8v-5-audi-a3-s3-tt-tts-mk7-7-5-vw-golf-gti-r-mk7-vw-gli-1-8t-2-0t-gen-3.html,Intakes
